id,artist,title,date_added
789,"Take That","How Deep Is Your Love","2018-11-20 20:33:22.560862"
790,"Challe Salle Erik",Letim,"2018-11-20 20:32:52.492114"
791,"Irene Cara",Flashdance,"2018-11-20 20:25:51.596884"
792,"Alannah Myles","Black Velvet","2018-11-20 20:25:51.596302"
793,"Meghan Trainor John Legend","Like I'm Gonna Lose You","2018-11-20 19:52:23.205904"
794,"Eva Boto",Tvoja,"2018-11-20 19:48:22.649334"
795,Toto,Rosanna,"2018-11-20 19:45:22.246497"
796,Triggerfinger,"I Follow Rivers","2018-11-20 19:41:21.697167"
797,"Pink Floyd","Another Brick In The Wall","2018-11-20 19:37:51.249142"
798,Clouseau,"Close Encounters","2018-11-20 19:33:50.723935"
799,"Michael Sembello",Maniac,"2018-11-20 19:33:50.723139"
800,"Adam Lambert","Ghost Town","2018-11-20 19:25:19.674554"
801,"Pliš",Metulji,"2018-11-20 19:21:19.155241"
802,Rembrandts,"Just The Way It Is Baby","2018-11-20 19:17:48.784439"
803,"Michael Jackson","I Just Can't Stop Loving You","2018-11-20 19:14:18.394067"
804,"Rod Stewart","I Don't Want To Talk About It","2018-11-20 19:10:48.018756"
805,Juanes,"Volverte A Ver","2018-11-20 19:06:17.510441"
806,"Lighthouse Family",Free,"2018-11-20 19:02:47.108648"
807,Pink,"Beautiful Trauma","2018-11-20 19:02:47.108134"
808,"Oliver Dragojevic","Vjeruj U Ljubav","2018-11-20 18:51:44.816009"
809,"John Legend","All Of Me","2018-11-20 18:48:14.339994"
810,"Maja Keuc","Naredi Srce","2018-11-20 18:44:42.934261"
811,Madonna,"You'll See","2018-11-20 18:39:42.336431"
